,t2m,tp,log_tp,snr,ssrd,skt,q
1997-08-30,299.94492,8.249,2.224515,14.162665,21.240591,299.45023,0.016531
1997-08-31,300.67892,1.751165,1.012024,14.611236,21.794922,300.06406,0.016804
1997-09-01,300.93256,1.338096,0.849337,13.224005,20.717722,300.30707,0.01653
1997-09-02,300.9608,0.198329,0.180928,13.608313,21.600197,300.76645,0.01622
1997-09-03,300.68265,2.768108,1.326573,14.103473,21.961887,300.69614,0.016798
1997-09-04,300.88196,0.56217,0.446076,13.31916,20.881002,300.68024,0.016529
1997-09-05,300.80655,0.0,0.0,14.570109,23.941202,300.84195,0.015153
1997-09-06,300.36777,0.028011,0.027626,14.372877,23.84493,301.26538,0.015
1997-09-07,300.50183,1.240012,0.806481,12.499537,19.930616,301.10526,0.016217
1997-09-08,300.43295,0.556466,0.442418,11.883506,19.738806,300.99158,0.01593
1997-09-09,300.30038,0.000875,0.000875,14.090477,23.55485,300.79675,0.0147
1997-09-10,300.25323,0.0,0.0,13.407496,23.315266,301.00137,0.01335
1997-09-11,300.60767,0.037083,0.036412,12.344029,21.162872,301.47543,0.015196
1997-09-12,301.01703,0.230335,0.207286,14.479947,23.934471,301.77304,0.015826
1997-09-13,301.24557,0.094118,0.089949,13.512475,22.8531,301.6959,0.015058
1997-09-14,300.7603,0.097965,0.093458,12.96077,22.886509,301.63745,0.014565
1997-09-15,300.834,0.406147,0.340853,13.789102,23.490185,301.63965,0.015627
1997-09-16,301.37402,0.536501,0.429508,14.361897,23.100233,301.99097,0.016333
1997-09-17,301.27164,0.915001,0.649718,13.599978,21.846424,301.5952,0.016468
1997-09-18,301.2743,0.469364,0.38483,15.358961,24.558424,302.41104,0.015706
1997-09-19,301.49945,0.243105,0.217612,13.952914,22.691711,302.03546,0.015852
1997-09-20,301.312,0.101718,0.096871,14.900076,25.135817,302.2056,0.015175
1997-09-21,301.17377,0.110296,0.104627,13.986192,23.970392,302.02457,0.015204
1997-09-22,301.08972,1.16819,0.773893,13.777843,22.430683,301.8497,0.016261
1997-09-23,301.39557,0.310726,0.270581,14.483744,23.891197,302.05762,0.015424
1997-09-24,301.0431,0.43802,0.363267,13.995111,23.984766,301.4883,0.014682
1997-09-25,300.86713,0.029162,0.028745,12.728225,21.905285,301.6097,0.015027
1997-09-26,301.32025,0.264959,0.23504,14.183942,23.820572,301.9484,0.014709
1997-09-27,300.97852,0.926279,0.65559,14.799316,23.962334,301.83627,0.015528
1997-09-28,300.9897,1.126161,0.754318,14.32505,22.741306,301.90335,0.015373
1997-09-29,301.18167,0.139241,0.130362,14.327146,23.42089,301.93887,0.015201
1997-09-30,301.66275,0.004389,0.004379,15.622142,26.386007,302.7502,0.014425
1997-10-01,301.1665,0.167698,0.155034,15.197542,26.551329,302.37036,0.01472
1997-10-02,301.13138,0.285893,0.251453,14.169476,23.813131,301.81915,0.015127
1997-10-03,300.80457,0.059696,0.057982,14.48124,24.432743,302.00372,0.015035
1997-10-04,300.94067,0.036991,0.036323,13.88479,23.68873,302.29727,0.01546
1997-10-05,301.195,0.236259,0.21209,14.675123,24.662804,302.67828,0.015326
1997-10-06,301.20273,0.402452,0.338222,13.49667,22.772924,302.31006,0.015809
1997-10-07,301.24667,0.405902,0.340679,14.689173,24.26704,302.47873,0.015927
1997-10-08,301.2586,0.331751,0.286495,14.418803,23.30451,302.28604,0.016429
1997-10-09,301.48886,0.948943,0.667287,13.665292,21.883884,302.30444,0.016359
1997-10-10,301.5778,0.998278,0.692286,13.615421,21.603838,302.08548,0.016454
1997-10-11,301.22784,0.343271,0.295108,12.154778,20.408318,302.17188,0.015703
1997-10-12,301.14975,0.0,0.0,14.919884,24.842537,302.17822,0.015729
1997-10-13,300.71658,0.035589,0.03497,11.602912,19.841991,301.79654,0.015551
1997-10-14,301.08582,0.044115,0.04317,15.11026,25.207254,302.58273,0.01514
1997-10-15,301.531,0.163318,0.151276,13.72264,23.057098,302.64276,0.015666
1997-10-16,301.2216,0.403825,0.339201,13.32042,22.224121,302.72275,0.016162
1997-10-17,301.65152,0.323051,0.27994,14.679179,24.345833,302.8499,0.016237
1997-10-18,300.8809,0.372124,0.31636,14.896812,24.956078,302.8163,0.015951
1997-10-19,301.12152,0.413324,0.345944,14.550567,23.60199,301.94897,0.016632
1997-10-20,301.6704,0.105421,0.100226,14.203257,22.848558,303.27603,0.015908
1997-10-21,302.0594,0.165006,0.152726,15.098245,24.180922,303.25806,0.016214
1997-10-22,301.66953,0.0,0.0,14.96982,25.44239,302.6112,0.015022
1997-10-23,301.5847,0.007199,0.007173,12.20276,20.80475,302.70255,0.015112
1997-10-24,301.009,0.689207,0.524259,13.059595,21.672432,302.009,0.015716
1997-10-25,300.87787,0.0,0.0,15.132996,25.605465,302.36673,0.014754
1997-10-26,301.29495,0.0,0.0,13.708656,23.417336,302.63602,0.014228
1997-10-27,301.2506,0.0,0.0,14.693419,25.524063,303.05347,0.015197
1997-10-28,301.16257,0.0,0.0,14.476582,25.555647,302.7323,0.014757
1997-10-29,301.67807,0.0,0.0,15.154199,26.32306,303.3029,0.014901
1997-10-30,301.69534,0.070302,0.067941,14.403957,25.099504,303.38974,0.014684
1997-10-31,301.81738,0.064967,0.062944,14.673412,25.004932,303.56763,0.01449
1997-11-01,301.38022,0.002592,0.002589,14.030361,25.012135,302.98535,0.014669
1997-11-02,300.8618,0.129562,0.12183,13.896418,24.45166,302.7041,0.014813
1997-11-03,302.02213,0.475417,0.388941,14.605001,24.018131,303.33978,0.015892
1997-11-04,301.58945,1.145675,0.763454,12.179294,19.861423,302.68945,0.01643
1997-11-05,301.39975,0.494344,0.401687,11.907322,20.020493,302.65918,0.016214
1997-11-06,301.41763,0.053206,0.051839,11.107811,19.034184,302.76328,0.015321
1997-11-07,301.67493,1.038568,0.712248,12.640399,20.416128,302.79233,0.016624
1997-11-08,301.35284,0.983773,0.685001,12.52085,20.610031,302.1528,0.016928
1997-11-09,301.7458,0.349309,0.299593,13.992401,22.333977,302.64117,0.016332
1997-11-10,301.96927,0.338879,0.291833,13.719412,22.579557,303.02902,0.016086
1997-11-11,301.6536,0.420538,0.351036,13.45979,22.494808,302.28363,0.016776
1997-11-12,301.29453,0.547699,0.436769,13.697042,23.032415,302.79654,0.016183
1997-11-13,301.6093,0.100078,0.095381,13.950417,22.95248,302.64722,0.015837
1997-11-14,301.86456,0.027212,0.026848,13.787986,22.71626,302.81375,0.015702
1997-11-15,301.2699,0.147199,0.137323,12.544434,21.818438,302.6705,0.015282
1997-11-16,300.92532,0.945537,0.665538,11.403716,20.15004,301.58698,0.015971
1997-11-17,300.32037,12.465662,2.600143,11.331562,18.348227,300.59006,0.016627
1997-11-18,300.4204,17.042326,2.89272,10.838606,17.284945,300.50278,0.017224
1997-11-19,300.08054,5.831268,1.92151,11.737153,17.883303,300.03375,0.017307
