arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,esa_bias,esa_corr,esa_nse,esa_rmse,esa_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.328,-2.766,0.6,0.113,1083.85,0.023,-0.765,0.516,-0.135,-183.941,0.025,-0.854,0.615,-0.058,1183.852,0.025,-3.682,0.622,0.375,910.207,0.019,SAmerica,298.203
2.165,0.566,0.775,-0.274,-30.498,0.018,0.59,0.59,-2.72,-37.067,0.031,0.986,0.729,-0.712,-35.352,0.021,0.103,0.752,0.322,-22.249,0.013,SAmerica,295.125
3.082,-1.445,0.588,-0.077,-53.701,0.022,-1.085,0.275,-1.944,-70.379,0.037,-0.987,0.56,-0.076,-53.681,0.022,-1.451,0.553,0.076,-49.732,0.021,SAmerica,300.035
2.373,-0.226,0.644,0.275,124.033,0.02,-3.844,0.636,0.342,54.283,0.021,-0.921,0.527,-0.321,167.389,0.027,-0.022,0.696,0.475,105.49,0.017,SAmerica,298.23
2.673,-0.025,0.448,-0.061,225.115,0.022,-6.746,0.436,-0.439,-643.542,0.025,1.968,0.443,-0.784,291.853,0.028,0.262,0.46,0.141,202.489,0.02,SAmerica,298.343
2.138,2.427,0.801,-15.982,-16.847,0.033,3.234,0.736,-23.116,-20.851,0.041,2.078,0.63,-11.508,-14.458,0.029,1.426,0.776,-2.727,-7.893,0.015,SAmerica,296.67
2.566,9.369,0.678,-0.552,1980.256,0.029,-3.729,0.489,-1.214,-392.979,0.034,2.095,0.595,-0.018,324.558,0.023,5.322,0.728,0.276,1352.268,0.02,SAmerica,298.858
2.074,-1.732,0.599,-1.488,287.583,0.019,-1.576,0.545,-2.397,147.709,0.022,-7.763,0.337,-6.401,992.855,0.031,-1.347,0.599,-0.248,203.715,0.013,SAmerica,297.798
3.147,4.598,0.337,-2.889,-518.749,0.02,0.26,0.158,-5.866,-210.874,0.026,6.355,0.143,-4.733,-629.872,0.024,1.729,0.479,-0.718,-344.783,0.013,SAmerica,298.565
2.021,-1.515,0.678,0.043,103.969,0.02,1.279,0.675,-0.824,277.214,0.028,0.027,0.79,0.359,85.071,0.016,-0.019,0.698,0.472,77.195,0.015,SAmerica,297.02
2.246,-0.595,0.442,-1.076,-166.566,0.025,-0.429,0.448,-3.087,-278.734,0.034,2.256,0.577,-1.678,-506.553,0.027,-0.984,0.477,-0.215,-127.444,0.019,SAmerica,296.375
2.246,2.13,0.522,-0.657,-493.168,0.023,3.548,0.642,-1.661,-689.745,0.029,-5.135,0.715,-0.826,439.68,0.024,0.703,0.527,-0.008,-384.709,0.018,SAmerica,296.375
2.736,-10.28,0.665,-0.361,-6067.806,0.026,32.886,0.533,-1.432,-9172.544,0.035,-4.055,0.601,0.047,632.066,0.022,-6.789,0.701,0.364,-4146.402,0.018,SAmerica,293.832
3.223,-0.999,0.802,0.17,-43.952,0.021,-1.564,0.618,-1.594,-104.599,0.037,-1.476,0.706,-0.259,-54.13,0.026,-0.602,0.812,0.595,-30.705,0.015,SAmerica,296.599
2.827,-0.307,0.649,0.15,-30.184,0.036,-0.497,0.6,0.178,-33.668,0.036,0.33,0.65,0.363,161.49,0.031,-0.479,0.646,0.362,-26.148,0.031,SAmerica,300.227
2.337,-16.692,0.737,-0.524,-519.202,0.02,1.218,0.496,-1.586,134.355,0.026,-12.266,0.486,-0.857,-573.177,0.022,-10.071,0.831,0.412,-322.529,0.012,SAmerica,298.602
2.091,0.829,0.646,0.385,-134.175,0.021,-0.633,0.42,-0.434,-58.943,0.032,0.579,0.313,-0.65,-219.834,0.034,0.342,0.628,0.39,-133.637,0.02,SAmerica,297.108
1.807,3.022,0.315,-21.911,-191.317,0.029,0.208,0.339,-26.746,-155.874,0.031,1.088,0.27,-22.071,-191.984,0.029,1.843,0.366,-8.743,-124.762,0.019,SAmerica,295.526
2.128,-0.454,0.732,0.535,-12.495,0.034,-0.346,0.69,0.412,-15.722,0.038,-0.413,0.673,0.444,-13.664,0.037,-0.659,0.736,0.466,-13.381,0.036,SAmerica,293.903
2.216,-0.913,0.554,-0.381,10.697,0.028,-0.901,0.495,-0.287,10.187,0.027,-0.447,0.545,-0.035,8.265,0.024,-0.839,0.687,0.294,7.647,0.02,SAmerica,297.801
2.507,-0.553,0.768,0.401,-332.441,0.023,-4.189,0.675,0.355,1325.222,0.024,-0.614,0.721,0.494,-305.476,0.021,-0.974,0.729,0.498,-304.323,0.021,SAmerica,300.412
2.034,-0.311,0.744,0.143,28.882,0.017,-0.429,0.659,-1.034,40.987,0.026,-0.408,0.698,-0.393,36.815,0.021,-0.498,0.768,0.586,20.076,0.012,SAmerica,295.652
2.881,1.537,0.638,-0.119,570.283,0.02,-1.417,0.505,-2.819,166.556,0.037,-6.546,0.57,-1.221,1629.6,0.028,0.349,0.659,0.303,450.332,0.016,SAmerica,296.045
2.327,0.339,0.69,-4.642,2864.509,0.023,0.061,0.534,-6.409,-1976.673,0.026,-4.637,0.597,-4.168,2741.426,0.022,-0.181,0.673,-1.305,1831.048,0.015,SAmerica,297.188
1.915,-6.212,0.636,-0.347,511.08,0.029,1.126,0.544,-0.976,-570.237,0.034,-4.312,0.622,-0.3,502.03,0.028,-4.414,0.664,0.34,357.639,0.02,SAmerica,294.212
1.802,-0.598,0.704,-0.267,259.115,0.019,-0.303,0.502,-3.901,274.656,0.038,2.456,0.517,-1.259,345.974,0.026,-0.01,0.675,0.388,180.001,0.013,SAmerica,295.368
2.189,-1.968,0.56,-2.254,1599.548,0.026,-1.06,0.499,-4.571,238.88,0.034,3.324,0.49,-5.327,-1105.027,0.036,0.569,0.542,-0.312,1015.639,0.016,SAmerica,295.02
2.596,-1.84,0.654,-1.97,-197.501,0.023,-11.893,0.493,-5.498,7717.366,0.034,-5.355,0.537,-4.331,1487.579,0.031,-1.497,0.665,-0.433,-137.181,0.016,SAmerica,295.284
2.596,1.52,0.697,-2.041,253.962,0.021,0.412,0.669,-5.665,367.662,0.031,0.021,0.675,-3.748,317.306,0.026,1.1,0.693,-0.478,177.018,0.015,SAmerica,295.284
2.25,10.5,0.758,-4.32,604.113,0.025,-0.535,0.612,-4.232,252.684,0.025,4.117,0.6,-2.339,478.612,0.02,6.331,0.71,-1.381,404.16,0.017,SAmerica,296.9
2.046,-0.633,0.711,0.224,-132.447,0.025,1.446,0.665,-0.354,-410.019,0.033,0.806,0.659,0.24,-378.57,0.025,-0.727,0.734,0.506,-105.676,0.02,SAmerica,294.129
2.442,0.383,0.654,-2.374,2078.542,0.029,-0.788,0.47,-3.345,-2514.027,0.033,-2.168,0.43,-1.534,458.031,0.025,-0.517,0.698,-0.224,1252.055,0.018,SAmerica,294.362
2.833,-1.629,0.701,-0.593,-117.624,0.023,-1.625,0.617,-1.332,-180.688,0.027,-0.628,0.616,-0.539,-71.74,0.019,-1.372,0.672,-0.084,-97.019,0.019,SAmerica,297.475
2.534,0.822,0.822,0.404,-9.37,0.029,0.846,0.732,0.434,-14.217,0.028,0.367,0.8,0.548,-8.158,0.025,0.471,0.846,0.714,-6.485,0.02,SAmerica,299.775
2.534,-0.96,0.457,-0.526,-110.729,0.028,-1.055,0.476,-0.376,40.569,0.027,-1.111,0.536,-0.033,-91.121,0.023,-1.015,0.516,0.042,-87.738,0.022,SAmerica,299.775
2.587,-1.213,0.428,-0.845,-79.441,0.029,-0.668,0.646,-1.073,-157.324,0.031,1.748,0.632,-0.755,-99.893,0.029,-0.684,0.437,0.011,-58.158,0.021,SAmerica,295.72
2.587,-0.339,0.563,-7.899,301.895,0.023,-0.337,0.432,-22.592,497.257,0.038,-0.314,0.474,-13.417,384.257,0.03,-0.274,0.616,-1.962,174.186,0.013,SAmerica,295.72
2.1,-0.623,0.697,0.242,99.879,0.027,-0.375,0.618,-0.673,80.93,0.04,-0.186,0.672,0.233,100.498,0.027,-0.854,0.695,0.464,84.013,0.023,SAmerica,295.272
2.408,1.464,0.588,-3.273,-314.342,0.032,0.517,0.5,-2.778,-159.368,0.029,0.891,0.513,-1.874,-257.762,0.026,1.728,0.592,-0.755,-201.433,0.02,SAmerica,296.073
2.408,-0.697,0.463,-1.2,169.29,0.026,-2.141,0.526,-0.877,63.369,0.024,-2.539,0.489,-0.603,144.509,0.022,-0.97,0.558,-0.181,124.034,0.019,SAmerica,296.073
2.283,-4.627,0.773,-1.802,-2099.001,0.027,-1.608,0.694,-1.715,-474.537,0.027,-0.484,0.674,-0.781,-362.568,0.021,-5.71,0.785,-0.248,-1400.792,0.018,SAmerica,296.274
2.776,0.775,0.717,-0.29,-176.961,0.028,-1.899,0.619,-0.452,196.459,0.03,0.038,0.68,0.097,-606.54,0.022,0.939,0.685,0.333,-127.215,0.02,SAmerica,299.109
2.462,1.519,0.773,-1.917,-15.695,0.032,0.407,0.663,-2.182,-13.572,0.034,1.379,0.83,-0.824,-12.412,0.026,0.917,0.718,0.104,-8.701,0.018,SAmerica,297.518
3.184,-1.003,0.562,-0.445,-210.173,0.026,-2.775,0.433,-1.497,501.447,0.035,-1.493,0.481,-0.551,134.186,0.027,-0.586,0.617,0.309,-145.316,0.018,SAmerica,296.453
2.86,-0.359,0.844,0.58,13.078,0.013,-1.055,0.248,-0.307,22.561,0.024,0.019,0.797,0.632,12.242,0.012,0.894,0.86,0.673,11.544,0.012,SAmerica,297.799
2.299,-1.061,0.743,-1.613,-65.112,0.032,-0.471,0.714,-0.375,-32.772,0.023,-1.084,0.728,-0.679,-52.205,0.026,-0.688,0.76,0.252,-34.828,0.017,SAmerica,296.195
3.005,1.832,0.75,-0.294,721.873,0.027,-1.845,0.593,-0.143,-966.544,0.025,-5.653,0.678,0.14,2263.041,0.022,1.192,0.786,0.53,434.937,0.016,SAmerica,298.958
2.889,-0.59,0.718,0.025,-91.341,0.022,59.32,0.626,-0.646,-4960.469,0.029,0.108,0.665,0.094,-88.053,0.021,-0.608,0.722,0.516,-64.376,0.015,SAmerica,295.268
3.139,26.733,0.409,-3.595,-1607.645,0.031,28.129,0.391,-2.63,-4992.886,0.028,-4.309,0.376,-2.591,695.249,0.029,10.906,0.466,-1.156,-1101.048,0.021,SAmerica,298.034
2.72,0.116,0.775,-0.086,-426.345,0.021,-0.806,0.658,-0.412,278.09,0.024,-0.965,0.767,0.38,-322.095,0.016,0.083,0.725,0.393,-318.924,0.016,SAmerica,297.392
2.603,0.745,0.804,-1.382,1697.384,0.026,0.439,0.711,-0.282,-221.643,0.019,-3.273,0.731,-0.36,1282.518,0.019,-1.213,0.829,0.303,917.964,0.014,SAmerica,296.765
2.544,2.013,0.634,-3.377,-33.625,0.023,1.069,0.619,-2.846,-27.35,0.021,1.648,0.615,-3.369,-33.596,0.023,0.903,0.693,-0.636,-20.557,0.014,SAmerica,296.435
2.544,0.015,0.837,0.367,-74.003,0.021,0.145,0.693,0.217,-57.657,0.024,0.021,0.738,0.28,-78.959,0.023,0.222,0.84,0.703,-50.741,0.015,SAmerica,296.435
2.57,0.956,0.819,-0.099,88.472,0.024,-0.218,0.701,0.138,64.68,0.021,0.65,0.753,0.297,70.787,0.019,0.315,0.82,0.578,54.826,0.015,SAmerica,298.335
2.141,6.909,0.237,-3.493,-122.462,0.038,14.324,0.37,-1.635,-254.444,0.029,6.712,0.292,-1.199,-85.665,0.027,7.279,0.278,-1.256,-86.768,0.027,SAmerica,298.45
2.283,-0.161,0.753,-0.339,-633.572,0.027,-3.871,0.67,-0.062,531.289,0.024,-0.072,0.695,0.177,-496.708,0.021,-2.428,0.728,0.299,-458.48,0.02,SAmerica,297.994
2.238,1.37,0.523,-9.236,-311.055,0.027,-0.668,0.406,-26.655,-334.261,0.044,-1.515,0.431,-5.3,-244.03,0.021,-0.645,0.448,-1.753,-161.316,0.014,SAmerica,294.221
2.63,-0.122,0.706,-0.062,-625.617,0.023,-1.561,0.587,-0.928,155.614,0.032,83.307,0.629,-0.09,-13729.157,0.023,0.016,0.692,0.479,-438.438,0.016,SAmerica,295.398
2.63,2.144,0.675,-0.819,194.242,0.029,-0.366,0.657,-1.33,308.389,0.033,-2.212,0.666,-0.712,-500.007,0.028,0.283,0.688,0.446,107.189,0.016,SAmerica,295.398
2.715,-1.487,0.599,-2.481,-535.335,0.026,-2.137,0.613,-1.977,355.479,0.024,-0.293,0.66,-0.691,-373.14,0.018,-1.601,0.57,-0.752,-379.857,0.018,SAmerica,297.151
2.708,-3.919,0.741,-0.292,-969.203,0.025,-0.583,0.691,-0.141,-366.716,0.024,-1.948,0.724,0.359,175.395,0.017,-1.068,0.749,0.406,-657.343,0.017,SAmerica,296.779
3.177,-1.021,0.804,-0.119,-239.465,0.022,-0.214,0.713,-0.395,-226.252,0.024,-0.632,0.776,-0.19,-246.889,0.023,-0.601,0.777,0.488,-162.039,0.015,SAmerica,297.641
2.033,1.565,0.65,-0.35,-268.446,0.023,-11.092,0.548,-2.646,1543.141,0.038,-1.959,0.571,-0.429,237.591,0.024,0.057,0.643,0.36,-184.873,0.016,SAmerica,294.492
3.125,-0.249,0.463,-2.294,-258.364,0.026,-1.051,0.583,-1.697,-446.637,0.023,-1.207,0.543,-1.6,-229.557,0.023,-0.831,0.506,-0.658,-183.295,0.018,SAmerica,296.794
2.579,-11.208,0.784,-1.714,-550.931,0.025,-4.428,0.714,-1.643,-207.993,0.024,-12.492,0.738,-0.533,-414.09,0.018,-6.067,0.793,-0.104,-351.303,0.016,SAmerica,296.022
2.834,-0.715,0.763,0.029,-511.089,0.024,-12.784,0.641,-0.117,-5079.643,0.026,-1.277,0.672,0.016,-514.429,0.025,-0.462,0.766,0.49,-370.494,0.018,SAmerica,297.084
2.293,1.219,0.277,-6.82,-420.312,0.035,1.603,0.194,-3.827,-378.789,0.028,0.296,0.283,-2.839,-294.519,0.025,1.748,0.387,-2.803,-293.109,0.025,SAmerica,299.269
1.956,-23.822,0.69,0.101,4271.256,0.025,-0.347,0.611,0.032,-205.707,0.025,-1.261,0.707,0.414,191.574,0.02,-26.156,0.707,0.383,3540.54,0.02,SAmerica,298.311
1.639,-8.092,0.66,0.345,315.055,0.024,-1.177,0.627,0.237,76.281,0.026,-0.153,0.642,0.352,313.5,0.024,-5.515,0.651,0.423,295.726,0.022,SAmerica,296.622
1.852,-2.29,0.514,-0.56,-183.682,0.022,1.449,0.39,-2.797,175.995,0.036,-3.064,0.416,-1.233,-219.749,0.027,-2.995,0.58,0.144,-136.051,0.017,SAmerica,294.818
2.475,-0.64,0.025,-6.352,-665.143,0.035,-0.982,0.005,-10.534,-655.903,0.044,-0.664,-0.045,-4.527,-576.687,0.031,0.214,0.13,-3.088,-496.001,0.026,SAmerica,295.694
2.323,0.218,0.742,-0.581,16.646,0.019,0.128,0.534,-1.057,25.591,0.021,-1.326,0.74,-0.803,17.776,0.021,-0.266,0.746,0.419,10.09,0.012,SAmerica,297.767
2.323,-0.15,0.805,0.477,-193.376,0.024,0.051,0.669,0.237,-122.468,0.028,-1.076,0.791,0.578,288.348,0.021,-0.447,0.776,0.602,-168.673,0.021,SAmerica,297.767
2.161,1.418,0.785,-0.138,192.186,0.026,0.123,0.642,-0.594,97.012,0.031,0.946,0.738,0.179,163.211,0.022,1.65,0.799,0.414,137.848,0.019,SAmerica,295.698
