arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.408,-1.252,0.493,-0.247,155.847,0.02,-1.408,0.535,0.262,119.95,0.015,-0.914,0.597,0.257,120.314,0.016,SAmerica,296.073
2.283,0.357,0.831,-0.148,-343.469,0.018,-0.685,0.642,0.411,-246.062,0.013,0.67,0.818,0.466,-234.315,0.013,SAmerica,296.274
2.776,0.99,0.794,0.065,-88.852,0.018,-0.944,0.665,0.359,-73.585,0.015,-0.334,0.747,0.501,-64.916,0.013,SAmerica,299.109
2.462,-22.059,0.767,-5.033,-2453.594,0.021,-12.69,0.619,-0.955,-1396.647,0.012,4.307,0.766,-1.289,-1511.251,0.013,SAmerica,297.518
3.184,2.629,0.666,0.147,768.126,0.016,-0.906,0.715,0.506,59.793,0.012,0.591,0.661,0.429,628.627,0.013,SAmerica,296.453
2.86,-9.126,0.63,-0.382,-52.087,0.016,-10.701,0.638,0.055,-43.058,0.013,-5.045,0.613,0.146,-40.934,0.012,SAmerica,297.799
2.299,-0.331,0.713,-0.727,-42.085,0.024,-0.41,0.754,0.559,-21.276,0.012,-0.366,0.739,0.306,-26.674,0.015,SAmerica,296.195
3.005,0.888,0.6,-0.497,31.845,0.028,0.343,0.589,0.233,22.799,0.02,0.437,0.715,0.488,18.617,0.016,SAmerica,298.958
1.546,-0.569,0.535,0.086,-365.803,0.024,-0.492,0.478,0.216,-338.689,0.022,-0.481,0.553,0.265,-327.894,0.021,Australia,300.299
2.889,-0.564,0.806,0.514,-40.704,0.013,-0.065,0.759,0.576,-38.014,0.012,-0.963,0.73,0.526,-40.196,0.013,SAmerica,295.268
3.139,8.12,0.148,-6.931,-425.304,0.023,2.965,0.109,-2.703,-522.425,0.017,0.987,0.094,-2.709,-290.854,0.016,SAmerica,298.034
